iter	Passed	Remaining
0	2	199
1	3	161
2	4	145
3	5	128
4	6	123
5	7	120
6	8	117
7	9	114
8	11	113
9	12	110
10	13	108
11	14	107
12	15	105
13	16	103
14	18	102
15	19	101
16	20	100
17	21	98
18	22	97
19	23	95
20	25	94
21	26	93
22	27	91
23	28	90
24	29	89
25	31	88
26	32	87
27	33	85
28	34	84
29	35	83
30	36	81
31	37	80
32	38	79
33	40	77
34	41	76
35	42	75
36	43	73
37	44	72
38	45	71
39	46	70
40	47	68
41	48	66
42	48	64
43	49	63
44	50	62
45	51	60
46	52	59
47	53	57
48	54	56
49	55	55
50	55	53
51	56	52
52	57	50
53	57	49
54	58	47
55	58	46
56	59	45
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	66	36
65	67	35
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	72	28
72	73	27
73	74	26
74	74	24
75	75	23
76	75	22
77	76	21
78	77	20
79	77	19
80	78	18
81	79	17
82	79	16
83	80	15
84	81	14
85	81	13
86	82	12
87	83	11
88	83	10
89	84	9
90	85	8
91	86	7
92	86	6
93	87	5
94	88	4
95	89	3
96	89	2
97	90	1
98	91	0
99	91	0
