iter	Passed	Remaining
0	0	856
1	1	736
2	2	681
3	2	648
4	6	1250
5	15	2582
6	17	2490
7	30	3830
8	39	4330
9	40	3968
10	40	3657
11	41	3406
12	42	3215
13	46	3254
14	47	3124
15	53	3260
16	56	3257
17	56	3108
18	57	2983
19	60	2949
20	60	2840
21	61	2735
22	62	2637
23	62	2547
24	65	2572
25	67	2520
26	68	2480
27	70	2459
28	72	2417
29	75	2438
30	76	2392
31	77	2346
32	78	2298
33	80	2276
34	81	2238
35	82	2213
36	84	2204
37	85	2165
38	86	2125
39	87	2088
40	88	2058
41	89	2045
42	92	2048
43	92	2016
44	93	1994
45	96	1995
46	97	1977
47	99	1967
48	100	1949
49	101	1927
50	103	1923
51	104	1908
52	107	1920
53	111	1951
54	113	1951
55	115	1939
56	117	1936
57	119	1936
58	121	1936
59	122	1913
60	122	1889
61	123	1865
62	124	1850
63	125	1832
64	126	1816
65	127	1804
66	128	1790
67	129	1778
68	131	1769
69	134	1783
70	141	1853
71	142	1834
72	142	1815
73	143	1798
74	144	1780
75	144	1762
76	145	1744
77	146	1735
78	147	1722
79	149	1715
80	150	1712
81	152	1703
82	152	1687
83	153	1674
84	154	1664
85	155	1652
86	156	1641
87	157	1629
88	157	1616
89	158	1605
90	161	1611
91	163	1616
92	166	1618
93	167	1612
94	168	1601
95	170	1602
96	171	1594
97	174	1605
98	175	1595
99	178	1604
100	182	1620
101	183	1618
102	186	1627
103	187	1617
104	188	1607
105	189	1598
106	190	1591
107	192	1588
108	194	1593
109	196	1591
110	197	1582
111	199	1579
112	201	1579
113	202	1570
114	203	1562
115	203	1553
116	204	1542
117	205	1535
118	206	1532
119	209	1536
120	210	1529
121	211	1519
122	214	1527
123	215	1523
124	216	1515
125	217	1508
126	218	1499
127	219	1492
128	221	1495
129	223	1498
130	225	1494
131	231	1520
132	233	1521
133	237	1535
134	239	1532
135	240	1528
136	241	1520
137	242	1512
138	242	1503
139	243	1497
140	244	1491
141	245	1481
142	245	1473
143	246	1465
144	247	1457
145	248	1451
146	248	1444
147	250	1439
148	254	1453
149	255	1448
150	256	1444
151	258	1442
152	259	1438
153	262	1440
154	262	1433
155	263	1428
156	264	1421
157	267	1426
158	269	1426
159	271	1426
160	272	1419
161	274	1418
162	274	1411
163	275	1404
164	276	1397
165	276	1390
166	277	1383
167	277	1376
168	278	1369
169	279	1363
170	283	1373
171	286	1377
172	288	1376
173	289	1374
174	291	1376
175	292	1370
176	293	1364
177	295	1365
178	297	1365
179	299	1364
180	300	1358
181	301	1353
182	302	1349
183	302	1343
184	306	1350
185	307	1347
186	309	1346
187	313	1352
188	313	1346
189	314	1342
190	315	1337
191	316	1332
192	317	1327
193	318	1323
194	320	1323
195	321	1318
196	322	1313
197	323	1312
198	329	1327
199	330	1323
200	333	1323
201	333	1319
202	334	1314
203	335	1309
204	337	1310
205	339	1306
206	341	1309
207	345	1314
208	345	1309
209	347	1306
210	354	1325
211	356	1323
212	359	1329
213	361	1329
214	362	1324
215	366	1330
216	372	1344
217	377	1352
218	380	1357
219	382	1355
220	383	1351
221	386	1353
222	388	1352
223	389	1348
224	390	1343
225	396	1357
226	406	1383
227	409	1387
228	413	1392
229	416	1395
230	420	1398
231	422	1399
232	425	1400
233	427	1398
234	429	1397
235	431	1396
236	433	1396
237	449	1437
238	458	1461
239	472	1497
240	483	1522
241	486	1523
242	501	1562
243	545	1691
244	551	1699
245	555	1703
246	558	1701
247	563	1709
248	567	1711
249	578	1736
250	586	1748
251	595	1767
252	602	1779
253	618	1817
254	626	1829
255	634	1842
256	639	1849
257	644	1852
258	649	1858
259	654	1863
260	660	1870
261	672	1894
262	674	1889
263	685	1911
264	689	1911
265	709	1957
266	737	2023
267	739	2019
268	752	2044
269	762	2060
270	766	2061
271	775	2074
272	778	2074
273	781	2070
274	808	2131
275	812	2130
276	813	2124
277	841	2185
278	843	2180
279	850	2185
280	853	2184
281	860	2190
282	864	2189
283	872	2199
284	878	2202
285	883	2205
286	893	2220
287	907	2243
288	911	2241
289	930	2277
290	954	2325
291	959	2325
292	963	2324
293	966	2321
294	970	2319
295	973	2316
296	979	2317
297	982	2314
298	986	2312
299	990	2310
300	992	2305
301	997	2306
302	1009	2321
303	1026	2351
304	1043	2378
305	1053	2388
306	1060	2394
307	1068	2400
308	1078	2411
309	1080	2406
310	1084	2402
311	1094	2413
312	1100	2414
313	1106	2417
314	1111	2417
315	1117	2419
316	1125	2424
317	1131	2426
318	1138	2430
319	1142	2426
320	1145	2422
321	1148	2417
322	1152	2416
323	1155	2411
324	1158	2406
325	1160	2399
326	1164	2396
327	1166	2390
328	1168	2383
329	1171	2377
330	1174	2373
331	1176	2367
332	1178	2360
333	1181	2355
334	1183	2349
335	1185	2342
336	1189	2339
337	1191	2333
338	1198	2336
339	1200	2329
340	1203	2326
341	1212	2331
342	1214	2325
343	1219	2325
344	1228	2332
345	1231	2327
346	1264	2379
347	1266	2373
348	1296	2418
349	1299	2413
350	1332	2464
351	1365	2513
352	1367	2506
353	1417	2586
354	1419	2578
355	1437	2600
356	1478	2662
357	1492	2676
358	1546	2760
359	1573	2796
360	1633	2891
361	1658	2922
362	1684	2956
363	1720	3006
364	1770	3080
365	1793	3106
366	1839	3173
367	1864	3202
368	1868	3195
369	1908	3250
370	1934	3279
371	1963	3313
372	2003	3368
373	2007	3359
374	2035	3392
375	2060	3420
376	2072	3424
377	2098	3453
378	2120	3474
379	2159	3523
380	2173	3531
381	2177	3522
382	2193	3532
383	2198	3526
384	2206	3524
385	2218	3529
386	2234	3539
387	2244	3540
388	2249	3533
389	2252	3523
390	2256	3515
391	2259	3503
392	2267	3502
393	2274	3497
394	2284	3498
395	2288	3489
396	2345	3562
397	2348	3552
398	2369	3568
399	2405	3608
400	2441	3646
401	2448	3641
402	2472	3663
403	2496	3682
404	2530	3718
405	2547	3727
406	2566	3739
407	2569	3728
408	2583	3733
409	2586	3722
410	2622	3757
411	2630	3753
412	2642	3756
413	2669	3778
414	2675	3771
415	2689	3776
416	2704	3781
417	2735	3808
418	2748	3810
419	2760	3811
420	2767	3805
421	2785	3815
422	2827	3857
423	2833	3849
424	2891	3912
425	2899	3907
426	2905	3898
427	2919	3901
428	2941	3914
429	2951	3913
430	2980	3934
431	2997	3941
432	3004	3934
433	3007	3922
434	3030	3936
435	3037	3929
436	3052	3932
437	3073	3943
438	3112	3977
439	3116	3966
440	3120	3954
441	3129	3951
442	3132	3938
443	3134	3924
444	3138	3914
445	3153	3916
446	3159	3908
447	3176	3913
448	3218	3949
449	3224	3940
450	3226	3927
451	3245	3935
452	3251	3926
453	3253	3913
454	3257	3902
455	3264	3894
456	3268	3883
457	3270	3870
458	3273	3858
459	3280	3851
460	3284	3840
461	3288	3828
462	3291	3817
463	3298	3809
464	3300	3797
